Entry Time,Exit Time,Type,Entry Price,Exit Price,Quantity,PNL,Outcome,Balance After Trade,cumulative_pnl,cumulative_balance
2023-03-08 17:21:00,2023-03-08 17:22:00,short,12209.75,12204.75,1,85.0,TP,25060.0,-74940.0,25060.0
2023-03-09 01:03:00,2023-03-09 01:05:00,short,12212.25,12207.25,1,85.0,TP,25145.0,-74855.0,25145.0
2023-03-09 01:39:00,2023-03-09 01:46:00,long,12198.0,12193.0,1,-115.0,SL,25030.0,-74970.0,25030.0
2023-03-09 02:13:00,2023-03-09 02:25:00,long,12192.25,12197.25,1,85.0,TP,25115.0,-74885.0,25115.0
2023-03-09 02:36:00,2023-03-09 02:44:00,long,12194.25,12189.25,1,-115.0,SL,25000.0,-75000.0,25000.0
2023-03-09 04:25:00,2023-03-09 04:40:00,long,12203.5,12198.5,1,-115.0,SL,24885.0,-75115.0,24885.0
2023-03-09 05:23:00,2023-03-09 05:31:00,short,12209.5,12214.5,1,-115.0,SL,24770.0,-75230.0,24770.0
2023-03-09 12:44:00,2023-03-09 12:46:00,short,12157.75,12162.75,1,-115.0,SL,24655.0,-75345.0,24655.0
2023-03-09 13:15:00,2023-03-09 13:21:00,long,12159.0,12164.0,1,85.0,TP,24740.0,-75260.0,24740.0
2023-03-09 13:48:00,2023-03-09 13:50:00,long,12222.0,12227.0,1,85.0,TP,24825.0,-75175.0,24825.0
2023-03-09 14:12:00,2023-03-09 14:13:00,long,12261.5,12266.5,1,85.0,TP,24910.0,-75090.0,24910.0
2023-03-09 16:25:00,2023-03-09 16:26:00,short,12307.5,12302.5,1,85.0,TP,24995.0,-75005.0,24995.0
2023-03-09 16:43:00,2023-03-09 16:45:00,short,12293.25,12298.25,1,-115.0,SL,24880.0,-75120.0,24880.0
2023-03-09 18:02:00,2023-03-09 18:03:00,long,12237.0,12242.0,1,85.0,TP,24965.0,-75035.0,24965.0
2023-03-09 19:14:00,2023-03-09 19:15:00,long,12101.25,12096.25,1,-115.0,SL,24850.0,-75150.0,24850.0
2023-03-09 23:35:00,2023-03-09 23:36:00,long,11990.0,11985.0,1,-115.0,SL,24735.0,-75265.0,24735.0
2023-03-10 00:51:00,2023-03-10 00:52:00,long,11974.0,11979.0,1,85.0,TP,24820.0,-75180.0,24820.0
2023-03-10 02:30:00,2023-03-10 02:31:00,long,11947.25,11942.25,1,-115.0,SL,24705.0,-75295.0,24705.0
2023-03-10 03:24:00,2023-03-10 03:28:00,long,11961.5,11956.5,1,-115.0,SL,24590.0,-75410.0,24590.0
2023-03-10 04:07:00,2023-03-10 04:09:00,short,11941.75,11936.75,1,85.0,TP,24675.0,-75325.0,24675.0
2023-03-10 09:52:00,2023-03-10 09:53:00,short,11995.75,11990.75,1,85.0,TP,24760.0,-75240.0,24760.0
2023-03-10 10:29:00,2023-03-10 10:31:00,short,12019.0,12014.0,1,85.0,TP,24845.0,-75155.0,24845.0
2023-03-10 11:20:00,2023-03-10 11:21:00,short,11993.25,11988.25,1,85.0,TP,24930.0,-75070.0,24930.0
2023-03-10 13:05:00,2023-03-10 13:06:00,long,12008.0,12013.0,1,85.0,TP,25015.0,-74985.0,25015.0
2023-03-10 18:13:00,2023-03-10 18:14:00,long,11908.75,11903.75,1,-115.0,SL,24900.0,-75100.0,24900.0
2023-03-10 19:19:00,2023-03-10 19:20:00,long,11844.75,11849.75,1,85.0,TP,24985.0,-75015.0,24985.0
2023-03-10 20:08:00,2023-03-10 20:09:00,long,11871.0,11876.0,1,85.0,TP,25070.0,-74930.0,25070.0
