Entry Time,Position,Entry Price,SL Price,TP Price,Exit Time,Exit Reason,Exit Price,P&L,cumulative_pnl
2024-04-17 09:00:00,short,17893.75,,,2024-04-17 09:01:00,TP,17888.75,85.0,-112295.0
2024-04-17 12:57:00,short,17928.5,,,2024-04-17 12:58:00,SL,17933.5,-115.0,-112410.0
2024-04-17 13:28:00,short,17954.0,,,2024-04-17 13:29:00,SL,17959.0,-115.0,-112525.0
2024-04-17 14:24:00,long,17832.0,,,2024-04-17 14:25:00,TP,17837.0,85.0,-112440.0
2024-04-17 16:25:00,long,17695.0,,,2024-04-17 16:26:00,SL,17690.0,-115.0,-112555.0
2024-04-17 17:17:00,short,17680.25,,,2024-04-17 17:18:00,SL,17685.25,-115.0,-112670.0
2024-04-17 17:44:00,long,17716.25,,,2024-04-17 17:45:00,SL,17711.25,-115.0,-112785.0
2024-04-17 18:38:00,long,17705.25,,,2024-04-17 18:39:00,TP,17710.25,85.0,-112700.0
2024-04-17 19:23:00,long,17677.75,,,2024-04-17 19:24:00,SL,17672.75,-115.0,-112815.0
2024-04-17 19:30:00,long,17675.5,,,2024-04-17 19:31:00,SL,17670.5,-115.0,-112930.0
2024-04-17 19:41:00,long,17667.25,,,2024-04-17 19:42:00,TP,17672.25,85.0,-112845.0
2024-04-18 00:24:00,long,17689.25,,,2024-04-18 00:26:00,TP,17694.25,85.0,-112760.0
2024-04-18 01:20:00,short,17699.5,,,2024-04-18 01:23:00,TP,17694.5,85.0,-112675.0
2024-04-18 01:56:00,long,17699.25,,,2024-04-18 01:58:00,TP,17704.25,85.0,-112590.0
2024-04-18 03:15:00,long,17724.25,,,2024-04-18 03:22:00,TP,17729.25,85.0,-112505.0
2024-04-18 04:07:00,short,17728.5,,,2024-04-18 04:29:00,SL,17733.5,-115.0,-112620.0
2024-04-18 05:50:00,short,17744.5,,,2024-04-18 06:00:00,SL,17749.5,-115.0,-112735.0
2024-04-18 07:52:00,short,17745.25,,,2024-04-18 07:54:00,SL,17750.25,-115.0,-112850.0
2024-04-18 10:34:00,short,17711.25,,,2024-04-18 10:35:00,SL,17716.25,-115.0,-112965.0
2024-04-18 10:42:00,short,17709.5,,,2024-04-18 10:44:00,SL,17714.5,-115.0,-113080.0
2024-04-18 10:49:00,short,17711.5,,,2024-04-18 10:50:00,TP,17706.5,85.0,-112995.0
2024-04-18 11:10:00,short,17713.25,,,2024-04-18 11:11:00,TP,17708.25,85.0,-112910.0
2024-04-18 11:28:00,short,17708.25,,,2024-04-18 11:31:00,SL,17713.25,-115.0,-113025.0
2024-04-18 11:36:00,short,17714.25,,,2024-04-18 11:38:00,TP,17709.25,85.0,-112940.0
2024-04-18 12:02:00,long,17710.75,,,2024-04-18 12:04:00,SL,17705.75,-115.0,-113055.0
2024-04-18 14:25:00,long,17650.0,,,2024-04-18 14:27:00,TP,17655.0,85.0,-112970.0
2024-04-18 16:29:00,long,17685.5,,,2024-04-18 16:30:00,SL,17680.5,-115.0,-113085.0
2024-04-18 17:00:00,long,17618.25,,,2024-04-18 17:01:00,TP,17623.25,85.0,-113000.0
2024-04-18 19:24:00,long,17564.25,,,2024-04-18 19:25:00,SL,17559.25,-115.0,-113115.0
